GEO_ID,NAME,B01003_001E
1600000US1768003,"Schaumburg village, Illinois",72862
1600000US2771428,"Woodbury city, Minnesota",72813
1600000US1236950,"Kissimmee city, Florida",72701
1600000US2674900,"Southfield city, Michigan",72700
1600000US1840788,"Lafayette city, Indiana",72633
1600000US2740166,"Maple Grove city, Minnesota",72616
1600000US2426000,"Ellicott City CDP, Maryland",72605
1600000US0657456,"Pittsburg city, California",72569
1600000US1257900,"Poinciana CDP, Florida",72545
1600000US0950370,"New Britain city, Connecticut",72491
1600000US3734200,"Jacksonville city, North Carolina",72438
1600000US5584250,"Waukesha city, Wisconsin",72308
1600000US2430325,"Frederick city, Maryland",72237
1600000US4454640,"Pawtucket city, Rhode Island",72108
1600000US5357535,"Redmond city, Washington",71941
1600000US1239550,"Lauderhill city, Florida",71863
1600000US1702154,"Arlington Heights village, Illinois",71825
1600000US2829700,"Gulfport city, Mississippi",71701
1600000US0659962,"Redlands city, California",71516
1600000US1276582,"Weston city, Florida",71164
1600000US2964082,"St. Charles city, Missouri",71009
1600000US0410670,"Casas Adobes CDP, Arizona",70840
1600000US1827000,"Gary city, Indiana",70778
1600000US1249675,"North Port city, Florida",70722
1600000US4852356,"North Richland Hills city, Texas",70655
1600000US1301052,"Albany city, Georgia",70643
1600000US4530850,"Greenville city, South Carolina",70633
1600000US2108902,"Bowling Green city, Kentucky",70542
1600000US0809280,"Broomfield city, Colorado",70465
1600000US3912000,"Canton city, Ohio",70445
1600000US5343955,"Marysville city, Washington",70306
1600000US1077580,"Wilmington city, Delaware",70164
1600000US0683346,"Walnut Creek city, California",70161
1600000US0624477,"Florence-Graham CDP, California",70149
1600000US7210334,"Caguas zona urbana, Puerto Rico",69960
1600000US0644574,"Lynwood city, California",69902
1600000US0610046,"Camarillo city, California",69887
1600000US4944320,"Lehi city, Utah",69742
1600000US3456550,"Passaic city, New Jersey",69694
1600000US1718823,"Decatur city, Illinois",69553
1600000US1232275,"Homestead city, Florida",69526
1600000US1217100,"Delray Beach city, Florida",69449
1600000US0618100,"Davis city, California",69420
1600000US0639486,"Lake Elsinore city, California",69283
1600000US1216525,"Daytona Beach city, Florida",69197
1600000US5522300,"Eau Claire city, Wisconsin",68936
1600000US0662364,"Rocklin city, California",68815
1600000US0560410,"Rogers city, Arkansas",68674
1600000US1224562,"Fountainebleau CDP, Florida",68619
1600000US4842016,"Leander city, Texas",68583
1600000US0121184,"Dothan city, Alabama",68522
1600000US0812415,"Castle Rock town, Colorado",68494
1600000US2208920,"Bossier City city, Louisiana",68147
1600000US2467675,"Rockville city, Maryland",68085
1600000US2431175,"Gaithersburg city, Maryland",67982
1600000US3474630,"Union City city, New Jersey",67977
1600000US1851876,"Muncie city, Indiana",67967
1600000US4738320,"Johnson City city, Tennessee",67859
1600000US0673262,"South San Francisco city, California",67781
1600000US1983910,"West Des Moines city, Iowa",67696
1600000US0686832,"Yorba Linda city, California",67645
1600000US0515190,"Conway city, Arkansas",67640
1600000US0642202,"Lodi city, California",67581
1600000US1757225,"Palatine village, Illinois",67436
1600000US1902305,"Ankeny city, Iowa",67347
1600000US3649121,"Mount Vernon city, New York",67330
1600000US1982425,"Waterloo city, Iowa",67326
1600000US2735180,"Lakeville city, Minnesota",67326
1600000US1301696,"Alpharetta city, Georgia",67208
1600000US4737640,"Jackson city, Tennessee",67187
